LOTE,constr.,bathroom,estac.,rec.,antiguedad,medio bathroom,Guadalajara,San Pedro Tlaquepaque,Tlajomulco de Zúñiga,Tonalá,Zapopan,venta,precio
71,69,1,1,3,6.0,1,0,0,0,0,1,0,7900.0
250,180,0,3,3,9.0,1,0,0,0,0,1,0,27000.0
200,250,0,3,4,0.0,1,0,0,0,0,1,0,25000.0
240,290,0,2,4,31.0,1,0,0,0,0,1,0,35000.0
150,250,0,2,4,15.0,1,0,0,0,0,1,0,33000.0
250,300,0,2,5,10.0,1,0,0,0,0,1,0,45000.0
162,305,0,4,4,0.0,1,0,0,0,0,1,0,35000.0
280,345,0,2,3,2.0,1,0,0,0,0,1,0,48500.0
150,200,0,2,3,5.0,0,0,0,0,0,1,0,25000.0
123,229,0,2,4,15.0,1,0,0,0,0,1,0,33500.0
300,280,0,3,3,20.0,0,0,0,0,0,1,0,25000.0
180,220,0,2,4,0.0,0,0,0,0,0,1,0,22000.0
140,226,0,2,4,0.0,0,0,0,0,0,1,0,30000.0
0,0,0,2,4,7.0,1,0,0,0,0,1,0,19000.0
210,240,0,3,3,12.0,0,0,0,0,0,1,0,35000.0
416,415,0,4,4,10.0,0,0,0,0,0,1,0,76500.0
380,550,0,6,6,5.0,0,0,0,0,0,1,0,79000.0
150,150,0,2,3,5.0,0,0,0,0,0,1,0,19800.0
360,420,0,4,4,10.0,1,0,0,0,0,1,0,78000.0
183,170,0,1,3,0.0,0,0,0,0,0,1,0,21000.0
600,650,0,6,4,15.0,1,0,0,0,0,1,0,85000.0
390,600,0,6,5,6.0,1,0,0,0,0,1,0,87500.0
656,532,0,4,3,17.0,1,0,0,0,0,1,0,114000.0
128,140,0,2,3,17.0,1,0,0,0,0,1,0,27000.0
200,285,0,2,3,2.0,1,0,0,0,0,1,0,33000.0
208,250,0,2,4,12.0,0,0,0,0,0,1,0,41000.0
415,486,0,4,3,25.0,1,0,0,0,0,1,0,60000.0
280,250,0,3,5,0.0,0,0,0,0,0,1,0,23000.0
419,355,0,7,4,0.0,1,0,0,0,0,1,0,115000.0
180,180,0,2,3,15.0,1,0,0,0,0,1,0,25000.0
509,439,0,6,3,5.0,1,0,0,0,0,1,0,73000.0
193,171,0,2,3,15.0,1,0,0,0,0,1,0,23000.0
208,300,0,3,5,30.0,1,0,0,0,0,1,0,33000.0
3060000,362,0,3,0,33.0,1,0,0,0,0,1,0,35000.0
99,140,0,2,2,2.0,0,0,0,0,0,1,0,16750.0
90,115,0,2,3,0.0,1,0,0,0,0,1,0,14000.0
